#Wavelength (nm)	Absorption Cross Section (cm^2*molecules^-1)
215.30	9.401548417513760758e-19
215.31	9.421009762491350160e-19
215.32	9.438830127581269135e-19
215.33	9.454868864351019143e-19
215.34	9.469016060716549769e-19
215.35	9.481196063235759698e-19
215.36	9.491370253068570402e-19
215.37	9.499538997079400826e-19
215.38	9.505742715847630021e-19
215.39	9.510062032094800169e-19
215.40	9.512616985670309611e-19
215.41	9.513565324189139884e-19
215.42	9.513099901106149609e-19
215.43	9.511445234880870577e-19
215.44	9.508853303398910274e-19
215.45	9.505598666475350668e-19
215.46	9.501973025630369746e-19
215.47	9.498279344012670044e-19
215.48	9.494825660042959529e-19
215.49	9.491918735818709927e-19
215.50	9.489857685407959762e-19
215.51	9.488927728787899994e-19
215.52	9.489394214364039314e-19
215.53	9.491497046827299323e-19
215.54	9.495445647735040060e-19
215.55	9.501414563880800550e-19
215.56	9.509539823550609742e-19
215.57	9.519916123514709458e-19
215.58	9.532594910488000236e-19
215.59	9.547583400260210741e-19
215.60	9.564844556227050158e-19
215.61	9.584298027149429717e-19
215.62	9.605822022125810240e-19
215.63	9.629256079487200192e-19
215.64	9.654404666095849339e-19
215.65	9.681041524802640920e-19
215.66	9.708914671017909314e-19
215.67	9.737751924847190860e-19
215.68	9.767266853362530882e-19
215.69	9.797164988582389232e-19
215.70	9.827150180817309613e-19
215.71	9.856930944331540567e-19
215.72	9.886226652830059133e-19
215.73	9.914773446088970753e-19
215.74	9.942329716015219671e-19
215.75	9.968681050390089995e-19
215.76	9.993644525291150600e-19
215.77	1.001707225240950062e-18
215.78	1.003885410483680081e-18
215.79	1.005891956399330007e-18
215.80	1.007723865076740078e-18
215.81	1.009382192517140074e-18
215.82	1.010871956039940032e-18
215.83	1.012201951859890063e-18
215.84	1.013384487644700067e-18
215.85	1.014435036826239975e-18
215.86	1.015371823242829907e-18
215.87	1.016215346292149915e-18
215.88	1.016987858135389915e-18
215.89	1.017712805581359939e-18
215.90	1.018414250066409998e-18
215.91	1.019116279614600082e-18
215.92	1.019842426798389942e-18
215.93	1.020615106520279939e-18
215.94	1.021455086903799983e-18
215.95	1.022381005729880091e-18
215.96	1.023408943701299950e-18
215.97	1.024552064391880009e-18
215.98	1.025820329071429981e-18
215.99	1.027220292733199926e-18
216.00	1.028754985633039938e-18
216.01	1.030423882528189962e-18
216.02	1.032222959631419950e-18
216.03	1.034144837127249971e-18
216.04	1.036179002985239917e-18
216.05	1.038312111805340078e-18
216.06	1.040528350591270005e-18
216.07	1.042809861718169981e-18
216.08	1.045137211981689962e-18
216.09	1.047489895522289967e-18
216.10	1.049846857640470042e-18
216.11	1.052187026074579904e-18
216.12	1.054489836215939967e-18
216.13	1.056735736987310083e-18
216.14	1.058906664705090030e-18
216.15	1.060986473165740001e-18
216.16	1.062961309419990009e-18
216.17	1.064819926189959935e-18
216.18	1.066553923606710026e-18
216.19	1.068157914850469945e-18
216.20	1.069629612313770087e-18
216.21	1.070969833022880054e-18
216.22	1.072182424188779928e-18
216.23	1.073274111857860064e-18
216.24	1.074254277638160058e-18
216.25	1.075134670334849964e-18
216.26	1.075929060989620022e-18
216.27	1.076652851237330065e-18
216.28	1.077322646033190093e-18
216.29	1.077955802633770069e-18
216.30	1.078569968214960059e-18
216.31	1.079182618667589926e-18
216.32	1.079810610923969912e-18
216.33	1.080469760643920009e-18
216.34	1.081174456243880082e-18
216.35	1.081937319112640002e-18
216.36	1.082768918457060081e-18
216.37	1.083677547600720079e-18
216.38	1.084669066767369913e-18
216.39	1.085746815468210005e-18
216.40	1.086911595635880080e-18
216.41	1.088161724662350006e-18
216.42	1.089493155561069994e-18
216.43	1.090899659640010075e-18
216.44	1.092373065392149946e-18
216.45	1.093903545831850079e-18
216.46	1.095479945267810044e-18
216.47	1.097090135540639939e-18
216.48	1.098721391088730090e-18
216.49	1.100360771857180023e-18
216.50	1.101995503036410049e-18
216.51	1.103613340907250010e-18
216.52	1.105202914664860047e-18
216.53	1.106754034973780069e-18
216.54	1.108257961141259929e-18
216.55	1.109707620148030008e-18
216.56	1.111097772303690039e-18
216.57	1.112425119948040018e-18
216.58	1.113688357351429905e-18
216.59	1.114888161721590073e-18
216.60	1.116027126950799980e-18
216.61	1.117109643383139920e-18
216.62	1.118141728399109940e-18
216.63	1.119130813961010031e-18
216.64	1.120085498398710070e-18
216.65	1.121015270610900048e-18
216.66	1.121930215489130018e-18
216.67	1.122840709725010058e-18
216.68	1.123757117229880011e-18
216.69	1.124689493183519937e-18
216.70	1.125647305245329970e-18
216.71	1.126639179728049986e-18
216.72	1.127672679577509914e-18
216.73	1.128754119856109951e-18
216.74	1.129888425131249969e-18
216.75	1.131079031767620033e-18
216.76	1.132327836658049914e-18
216.77	1.133635192451249978e-18
216.78	1.134999947890790005e-18
216.79	1.136419530515409995e-18
216.80	1.137890067726599917e-18
216.81	1.139406541144180070e-18
216.82	1.140962968274850028e-18
216.83	1.142552604838829941e-18
216.84	1.144168160652809935e-18
216.85	1.145802021763779983e-18
216.86	1.147446471569909982e-18
216.87	1.149093903945299969e-18
216.88	1.150737021890990087e-18
216.89	1.152369015944719933e-18
216.90	1.153983717467860083e-18
216.91	1.155575722957740059e-18
216.92	1.157140486669239915e-18
216.93	1.158674380030359953e-18
216.94	1.160174717561190048e-18
216.95	1.161639750210849937e-18
216.96	1.163068628171599961e-18
216.97	1.164461336275400012e-18
216.98	1.165818605988980031e-18
216.99	1.167141808770770077e-18
217.00	1.168432836111309997e-18
217.01	1.169693971931139987e-18
217.02	1.170927763146139916e-18
217.03	1.172136894127339937e-18
217.04	1.173324070485050042e-18
217.05	1.174491917108080008e-18
217.06	1.175642894707109926e-18
217.07	1.176779238272650002e-18
217.08	1.177902919892809984e-18
217.09	1.179015637320569945e-18
217.10	1.180118828571810030e-18
217.11	1.181213711714869996e-18
217.12	1.182301347920610084e-18
217.13	1.183382724818079965e-18
217.14	1.184458856283390043e-18
217.15	1.185530894011209928e-18
217.16	1.186600245609319976e-18
217.17	1.187668693540300074e-18
217.18	1.188738509027530028e-18
217.19	1.189812555054749986e-18
217.20	1.190894372822689982e-18
217.21	1.191988246475759910e-18
217.22	1.193099241565849924e-18
217.23	1.194233213556189950e-18
217.24	1.195396783662260085e-18
217.25	1.196597280444689997e-18
217.26	1.197842646774980033e-18
217.27	1.199141313048959940e-18
217.28	1.200502038781919996e-18
217.29	1.201933725940959987e-18
217.30	1.203445208511950079e-18
217.31	1.205045023819730075e-18
217.32	1.206741171985220010e-18
217.33	1.208540870578430042e-18
217.34	1.210450311987119965e-18
217.35	1.212474431246610009e-18
217.36	1.214616692055149909e-18
217.37	1.216878898427390059e-18
217.38	1.219261038919380004e-18
217.39	1.221761169604339940e-18
217.40	1.224375341009140013e-18
217.41	1.227097573063300056e-18
217.42	1.229919880799649932e-18
217.43	1.232832352116509937e-18
217.44	1.235823277408590063e-18
217.45	1.238879329343619957e-18
217.46	1.241985789551270045e-18
217.47	1.245126817546779945e-18
217.48	1.248285755880620008e-18
217.49	1.251445464328450072e-18
217.50	1.254588674952289932e-18
217.51	1.257698359105639982e-18
217.52	1.260758096948379976e-18
217.53	1.263752439800109996e-18
217.54	1.266667255702869976e-18
217.55	1.269490048887520030e-18
217.56	1.272210244435049945e-18
217.57	1.274819430279819981e-18
217.58	1.277311549791149960e-18
217.59	1.279683039463410078e-18
217.60	1.281932907703970084e-18
217.61	1.284062752291359987e-18
217.62	1.286076715735580086e-18
217.63	1.287981379460490002e-18
217.64	1.289785599393289933e-18
217.65	1.291500287140199942e-18
217.66	1.293138142402690026e-18
217.67	1.294713343601210086e-18
217.68	1.296241204784980033e-18
217.69	1.297737807784759938e-18
217.70	1.299219619184649949e-18
217.71	1.300703102032540036e-18
217.72	1.302204332266809916e-18
217.73	1.303738629610970051e-18
217.74	1.305320212184739975e-18
217.75	1.306961883318539965e-18
217.76	1.308674758062320054e-18
217.77	1.310468035681329969e-18
217.78	1.312348823069509981e-18
217.79	1.314322012526629939e-18
217.80	1.316390215786630038e-18
217.81	1.318553754597300034e-18
217.82	1.320810706585720015e-18
217.83	1.323157003645729933e-18
217.84	1.325586578697940016e-18
217.85	1.328091555439860011e-18
217.86	1.330662474658219926e-18
217.87	1.333288549846890023e-18
217.88	1.335957944281819948e-18
217.89	1.338658061364650057e-18
217.90	1.341375839962070046e-18
217.91	1.344098046637409966e-18
217.92	1.346811557082009961e-18
217.93	1.349503619688139984e-18
217.94	1.352162095037330077e-18
217.95	1.354775666075580061e-18
217.96	1.357334014873670050e-18
217.97	1.359827963087220010e-18
217.98	1.362249574494150059e-18
217.99	1.364592219254260015e-18
218.00	1.366850600764369959e-18
218.01	1.369020747133309973e-18
218.02	1.371099970336320061e-18
218.03	1.373086796997679913e-18
218.04	1.374980875466140045e-18
218.05	1.376782864371280038e-18
218.06	1.378494308167230017e-18
218.07	1.380117505278410071e-18
218.08	1.381655374362189931e-18
218.09	1.383111323905820073e-18
218.10	1.384489129895399937e-18
218.11	1.385792825656999966e-18
218.12	1.387026607200539967e-18
218.13	1.388194756529660094e-18
218.14	1.389301584449460060e-18
218.15	1.390351393445530086e-18
218.16	1.391348460260470031e-18
218.17	1.392297036891909942e-18
218.18	1.393201367915410012e-18
218.19	1.394065721323789946e-18
218.20	1.394894429500019916e-18
218.21	1.395691936520769975e-18
218.22	1.396462847739060086e-18
218.23	1.397211977521799935e-18
218.24	1.397944391123850053e-18
218.25	1.398665436956979951e-18
218.26	1.399380765947830078e-18
218.27	1.400096335254249979e-18
218.28	1.400818394301290086e-18
218.29	1.401553451877179918e-18
218.30	1.402308223866199990e-18
218.31	1.403089562054330049e-18
218.32	1.403904365292800090e-18
218.33	1.404759475109209910e-18
218.34	1.405661558585570063e-18
218.35	1.406616981947549959e-18
218.36	1.407631678806509928e-18
218.37	1.408711017344480081e-18
218.38	1.409859670920130025e-18
218.39	1.411081496591409957e-18
218.40	1.412379425899229944e-18
218.41	1.413755371939389904e-18
218.42	1.415210156280320001e-18
218.43	1.416743458678790059e-18
218.44	1.418353791827209931e-18
218.45	1.420038502561590090e-18
218.46	1.421793800098369952e-18
218.47	1.423614810983909939e-18
218.48	1.425495659564330044e-18
218.49	1.427429571949819982e-18
218.50	1.429409000685640030e-18
218.51	1.431425766681470035e-18
218.52	1.433471214414709990e-18
218.53	1.435536376031970028e-18
218.54	1.437612139739429996e-18
218.55	1.439689417805850022e-18
218.56	1.441759309602250074e-18
218.57	1.443813255365149960e-18
218.58	1.445843176785290061e-18
218.59	1.447841601072410084e-18
218.60	1.449801765808759920e-18
218.61	1.451717702651919958e-18
218.62	1.453584298752199918e-18
218.63	1.455397335579489953e-18
218.64	1.457153505676839913e-18
218.65	1.458850408639629921e-18
218.66	1.460486528331650034e-18
218.67	1.462061193962430081e-18
218.68	1.463574528141970096e-18
218.69	1.465027385378719977e-18
218.70	1.466421284682959932e-18
218.71	1.467758339970910093e-18
218.72	1.469041191836260026e-18
218.73	1.470272943969970025e-18
218.74	1.471457107078319921e-18
218.75	1.472597552591940063e-18
218.76	1.473698477797029944e-18
218.77	1.474764383283549976e-18
218.78	1.475800062822759999e-18
218.79	1.476810604993280006e-18
218.80	1.477801405103229939e-18
218.81	1.478778185240929953e-18
218.82	1.479747019658929988e-18
218.83	1.480714362184909969e-18
218.84	1.481687071983550062e-18
218.85	1.482672433784049991e-18
218.86	1.483678168652699927e-18
218.87	1.484712431535579927e-18
218.88	1.485783792122420050e-18
218.89	1.486901196081270005e-18
218.90	1.488073904371650039e-18
218.91	1.489311409138550088e-18
218.92	1.490623325596090073e-18
218.93	1.492019260294549953e-18
218.94	1.493508657193159911e-18
218.95	1.495100623994750009e-18
218.96	1.496803742197930010e-18
218.97	1.498625865248070044e-18
218.98	1.500573909983389978e-18
218.99	1.502653647240690049e-18
219.00	1.504869497978789913e-18
219.01	1.507224341569270071e-18
219.02	1.509719342978110090e-18
219.03	1.512353805405640080e-18
219.04	1.515125054564409934e-18
219.05	1.518028360158950005e-18
219.06	1.521056899303130088e-18
219.07	1.524201765588860094e-18
219.08	1.527452026334280030e-18
219.09	1.530794829223900016e-18
219.10	1.534215558147050022e-18
219.11	1.537698036588849945e-18
219.12	1.541224775475459999e-18
219.13	1.544777260968970091e-18
219.14	1.548336276395529999e-18
219.15	1.551882251314599913e-18
219.16	1.555395629741070063e-18
219.17	1.558857248748380032e-18
219.18	1.562248718140330031e-18
219.19	1.565552791603210009e-18
219.20	1.568753719751079989e-18
219.21	1.571837575761370082e-18
219.22	1.574792544859919956e-18
219.23	1.577609169742029998e-18
219.24	1.580280545086489988e-18
219.25	1.582802455604249952e-18
219.26	1.585173453524390042e-18
219.27	1.587394873016500083e-18
219.28	1.589470780732129918e-18
219.29	1.591407863369510008e-18
219.30	1.593215254873260073e-18
219.31	1.594904307523459998e-18
219.32	1.596488312696740064e-18
219.33	1.597982178449960070e-18
219.34	1.599402072243249922e-18
219.35	1.600765038049650094e-18
219.36	1.602088597764229904e-18
219.37	1.603390347208570089e-18
219.38	1.604687557114599929e-18
219.39	1.605996789264099997e-18
219.40	1.607333537464160069e-18
219.41	1.608711902269870069e-18
219.42	1.610144307348549974e-18
219.43	1.611641264146830051e-18
219.44	1.613211190109919960e-18
219.45	1.614860284156499995e-18
219.46	1.616592461478309931e-18
219.47	1.618409348060750067e-18
219.48	1.620310333660070032e-18
219.49	1.622292680372020065e-18
219.50	1.624351682434139986e-18
219.51	1.626480871561250031e-18
219.52	1.628672260959640046e-18
219.53	1.630916620230870038e-18
219.54	1.633203772686510078e-18
219.55	1.635522906166019940e-18
219.56	1.637862888291130075e-18
219.57	1.640212577200250093e-18
219.58	1.642561119179360090e-18
219.59	1.644898225223460053e-18
219.60	1.647214419403650017e-18
219.61	1.649501252948630072e-18
219.62	1.651751479140989953e-18
219.63	1.653959185439349918e-18
219.64	1.656119880624160055e-18
219.65	1.658230536185100088e-18
219.66	1.660289582576599911e-18
219.67	1.662296862322449999e-18
219.68	1.664253543211170001e-18
219.69	1.666161995952510027e-18
219.70	1.668025641631829981e-18
219.71	1.669848775075649910e-18
219.72	1.671636370808559938e-18
219.73	1.673393878626370080e-18
219.74	1.675127015925679916e-18
219.75	1.676841563818170044e-18
219.76	1.678543173726180032e-18
219.77	1.680237190619489948e-18
219.78	1.681928498332780065e-18
219.79	1.683621391524489905e-18
219.80	1.685319477831710018e-18
219.81	1.687025612676020091e-18
219.82	1.688741868017860005e-18
219.83	1.690469535180060036e-18
219.84	1.692209160700549989e-18
219.85	1.693960613067969940e-18
219.86	1.695723177174160021e-18
219.87	1.697495672416199978e-18
219.88	1.699276589623509914e-18
219.89	1.701064241395129963e-18
219.90	1.702856920024179995e-18
219.91	1.704653056971540060e-18
219.92	1.706451377833330087e-18
219.93	1.708251046925219957e-18
219.94	1.710051795972870019e-18
219.95	1.711854031939080084e-18
219.96	1.713658919715729948e-18
219.97	1.715468436239530025e-18
219.98	1.717285393527200044e-18
219.99	1.719113429140069911e-18
220.00	1.720956963646289976e-18
220.01	1.722821125718979965e-18
220.02	1.724711646558740067e-18
220.03	1.726634726324369962e-18
220.04	1.728596876169769959e-18
220.05	1.730604740286519991e-18
220.06	1.732664903020880001e-18
220.07	1.734783686646960152e-18
220.08	1.736966945723450022e-18
220.09	1.739219864127350163e-18
220.10	1.741546760841430048e-18
220.11	1.743950910373130070e-18
220.12	1.746434383309320147e-18
220.13	1.748997911973150052e-18
220.14	1.751640785465679958e-18
220.15	1.754360777564509850e-18
220.16	1.757154110040480169e-18
220.17	1.760015452968580077e-18
220.18	1.762937962579690021e-18
220.19	1.765913356157770120e-18
220.20	1.768932022461579812e-18
220.21	1.771983165173739850e-18
220.22	1.775054975979310148e-18
220.23	1.778134833079320128e-18
220.24	1.781209520273260142e-18
220.25	1.784265461219150027e-18
220.26	1.787288963113149969e-18
220.27	1.790266463834299906e-18
220.28	1.793184776576429952e-18
220.29	1.796031326139130165e-18
220.30	1.798794371365109855e-18
220.31	1.801463208681799854e-18
220.32	1.804028352314030153e-18
220.33	1.806481687460949807e-18
220.34	1.808816593550960046e-18
220.35	1.811028035575269909e-18
220.36	1.813112622425259892e-18
220.37	1.815068632091249962e-18
220.38	1.816896004490180060e-18
220.39	1.818596303548300021e-18
220.40	1.820172650945069940e-18
220.41	1.821629634601529969e-18
220.42	1.822973195550049879e-18
220.43	1.824210497236299933e-18
220.44	1.825349781566879839e-18
220.45	1.826400216121779897e-18
220.46	1.827371736898849921e-18
220.47	1.828274890753700060e-18
220.48	1.829120681352559855e-18
220.49	1.829920421985099836e-18
220.50	1.830685598007779925e-18
220.51	1.831427741031740109e-18
220.52	1.832158316259349960e-18
220.53	1.832888623640010015e-18
220.54	1.833629712789190099e-18
220.55	1.834392310925189846e-18
220.56	1.835186762455329825e-18
220.57	1.836022978313610162e-18
220.58	1.836910392738280060e-18
220.59	1.837857924900260162e-18
220.60	1.838873942664290057e-18
220.61	1.839966225792639999e-18
220.62	1.841141926087719931e-18
220.63	1.842407522309399813e-18
220.64	1.843768768184489948e-18
220.65	1.845230632431269914e-18
220.66	1.846797230428299948e-18
220.67	1.848471747934919833e-18
220.68	1.850256358088859830e-18
220.69	1.852152133728840021e-18
220.70	1.854158957879460012e-18
220.71	1.856275435955169844e-18
220.72	1.858498813853700020e-18
220.73	1.860824906583049884e-18
220.74	1.863248042371019894e-18
220.75	1.865761027318020008e-18
220.76	1.868355135554640134e-18
220.77	1.871020129545340172e-18
220.78	1.873744314635840063e-18
220.79	1.876514631181289853e-18
220.80	1.879316786629780069e-18
220.81	1.882135428793930097e-18
220.82	1.884954360255529968e-18
220.83	1.887756792450030119e-18
220.84	1.890525636516920169e-18
220.85	1.893243826524790138e-18
220.86	1.895894669241120102e-18
220.87	1.898462213267910183e-18
220.88	1.900931629159719982e-18
220.89	1.903289591130389899e-18
220.90	1.905524650184500058e-18
220.91	1.907627588020479869e-18
220.92	1.909591740874579937e-18
220.93	1.911413282633559964e-18
220.94	1.913091457048829975e-18
220.95	1.914628749738999928e-18
220.96	1.916030991859010094e-18
220.97	1.917307388820470063e-18
220.98	1.918470469235089907e-18
220.99	1.919535951276079974e-18
221.00	1.920522525857079856e-18
221.01	1.921451558351789951e-18
221.02	1.922346712951059831e-18
221.03	1.923233506105219993e-18
221.04	1.924138797753030054e-18
221.05	1.925090231120909951e-18
221.06	1.926115633715849870e-18
221.07	1.927242393667590167e-18
221.08	1.928496826743339993e-18
221.09	1.929903550112690082e-18
221.10	1.931484879248109917e-18
221.11	1.933260264183340150e-18
221.12	1.935245780711809812e-18
221.13	1.937453690996399928e-18
221.14	1.939892086503359958e-18
221.15	1.942564624203629994e-18
221.16	1.945470364655100138e-18
221.17	1.948603717953530171e-18
221.18	1.951954500690760159e-18
221.19	1.955508104069189997e-18
221.20	1.959245770280319984e-18
221.21	1.963144971251649848e-18
221.22	1.967179880993919830e-18
221.23	1.971321930126740178e-18
221.24	1.975540428808420105e-18
221.25	1.979803242319530053e-18
221.26	1.984077502013040052e-18
221.27	1.988330333296719993e-18
221.28	1.992529581790900009e-18
221.29	1.996644518826739884e-18
221.30	2.000646508017469939e-18
221.31	2.004509615733779926e-18
221.32	2.008211149912500090e-18
221.33	2.011732113676580178e-18
221.34	2.015057562682909981e-18
221.35	2.018176857868230010e-18
221.36	2.021083808246600168e-18
221.37	2.023776701534530079e-18
221.38	2.026258223544929896e-18
221.39	2.028535270400680024e-18
221.40	2.030618660579569859e-18
221.41	2.032522756522289865e-18
221.42	2.034265007933920189e-18
221.43	2.035865430914990053e-18
221.44	2.037346038612260149e-18
221.45	2.038730240139860035e-18
221.46	2.040042225060330142e-18
221.47	2.041306350723159859e-18
221.48	2.042546549243210022e-18
221.49	2.043785769887320049e-18
221.50	2.045045471164300133e-18
221.51	2.046345175037240150e-18
221.52	2.047702093463980126e-18
221.53	2.049130834999459928e-18
221.54	2.050643196547170024e-18
221.55	2.052248042615449982e-18
221.56	2.053951271707509931e-18
221.57	2.055755866841119847e-18
221.58	2.057662024738650160e-18
221.59	2.059667356025969922e-18
221.60	2.061767146896299812e-18
221.61	2.063954671186390017e-18
221.62	2.066221540715890176e-18
221.63	2.068558081083090105e-18
221.64	2.070953719898660065e-18
221.65	2.073397374668220058e-18
221.66	2.075877828181440081e-18
221.67	2.078384080295770094e-18
221.68	2.080905666365929911e-18
221.69	2.083432934209019854e-18
221.70	2.085957273340940095e-18
221.71	2.088471292200409827e-18
221.72	2.090968941116090177e-18
221.73	2.093445580794850128e-18
221.74	2.095897998041710165e-18
221.75	2.098324372197020125e-18
221.76	2.100724197334339827e-18
221.77	2.103098166553530094e-18
221.78	2.105448025688399927e-18
221.79	2.107776404403560191e-18
221.80	2.110086632965349873e-18
221.81	2.112382552941899889e-18
221.82	2.114668329729139873e-18
221.83	2.116948274141429988e-18
221.84	2.119226679385669867e-18
221.85	2.121507678602450022e-18
221.86	2.123795126863049957e-18
221.87	2.126092510115620008e-18
221.88	2.128402882140750153e-18
221.89	2.130728829166730080e-18
221.90	2.133072460469830077e-18
221.91	2.135435422097180126e-18
221.92	2.137818929849850155e-18
221.93	2.140223816888229847e-18
221.94	2.142650590801049932e-18
221.95	2.145099494730329905e-18
221.96	2.147570567172699956e-18
221.97	2.150063695377050133e-18
221.98	2.152578657811009823e-18
221.99	2.155115151946329813e-18
222.00	2.157672804577560032e-18
